PicoQuant	FluoFit	4.4.0.1				
Saved	:	08/04/2011	16:23:43			
Model:	Exp.	[Reconv.]	(Exponential)			
t[ns]	Intens.	t[ns]	Intens.			
0.0073	2	0.0797	1			
0.0147	1	0.0870	0			
0.0220	1	0.0944	0			
0.0293	2	0.1017	0			
0.0367	2	0.1090	0			
0.0440	1	0.1164	0			
0.0513	1	0.1237	0			
0.0586	1	0.1310	0			
0.0660	1	0.1384	0			
0.0733	1	0.1457	0			
0.0806	2	0.1530	1			
0.0880	0	0.1603	0			
0.0953	3	0.1677	0			
0.1026	0	0.1750	0			
0.1100	1	0.1823	0			
0.1173	0	0.1897	0			
0.1246	1	0.1970	0			
0.1320	1	0.2043	0			
0.1393	1	0.2117	0			
0.1466	3	0.2190	0			
0.1540	3	0.2263	0			
0.1613	1	0.2337	0			
0.1686	1	0.2410	0			
0.1759	2	0.2483	0			
0.1833	1	0.2556	0			
0.1906	0	0.2630	0			
0.1979	1	0.2703	0			
0.2053	0	0.2776	0			
0.2126	2	0.2850	0			
0.2199	2	0.2923	0			
0.2273	1	0.2996	0			
0.2346	2	0.3070	0			
0.2419	0	0.3143	0			
0.2493	2	0.3216	1			
0.2566	0	0.3290	0			
0.2639	3	0.3363	0			
0.2713	2	0.3436	0			
0.2786	2	0.3510	0			
0.2859	1	0.3583	0			
0.2932	0	0.3656	0			
0.3006	0	0.3729	0			
0.3079	4	0.3803	0			
0.3152	0	0.3876	0			
0.3226	0	0.3949	0			
0.3299	2	0.4023	0			
0.3372	0	0.4096	0			
0.3446	2	0.4169	0			
0.3519	1	0.4243	0			
0.3592	3	0.4316	0			
0.3666	1	0.4389	0			
0.3739	2	0.4463	0			
0.3812	1	0.4536	0			
0.3886	0	0.4609	0			
0.3959	0	0.4683	0			
0.4032	1	0.4756	0			
0.4105	0	0.4829	0			
0.4179	1	0.4902	0			
0.4252	0	0.4976	0			
0.4325	0	0.5049	0			
0.4399	0	0.5122	0			
0.4472	1	0.5196	1			
0.4545	5	0.5269	0			
0.4619	0	0.5342	0			
0.4692	1	0.5416	0			
0.4765	1	0.5489	0			
0.4839	3	0.5562	0			
0.4912	0	0.5636	0			
0.4985	0	0.5709	0			
0.5059	2	0.5782	0			
0.5132	0	0.5856	0			
0.5205	0	0.5929	0			
0.5278	4	0.6002	0			
0.5352	1	0.6075	0			
0.5425	1	0.6149	0			
0.5498	4	0.6222	0			
0.5572	1	0.6295	0			
0.5645	0	0.6369	0			
0.5718	0	0.6442	0			
0.5792	0	0.6515	0			
0.5865	3	0.6589	0			
0.5938	3	0.6662	0			
0.6012	0	0.6735	0			
0.6085	3	0.6809	0			
0.6158	2	0.6882	0			
0.6232	1	0.6955	1			
0.6305	0	0.7029	0			
0.6378	1	0.7102	0			
0.6451	0	0.7175	0			
0.6525	2	0.7248	0			
0.6598	0	0.7322	0			
0.6671	2	0.7395	0			
0.6745	0	0.7468	0			
0.6818	2	0.7542	0			
0.6891	0	0.7615	0			
0.6965	2	0.7688	0			
0.7038	5	0.7762	0			
0.7111	0	0.7835	0			
0.7185	0	0.7908	0			
0.7258	2	0.7982	0			
0.7331	0	0.8055	0			
0.7405	1	0.8128	0			
0.7478	0	0.8202	0			
0.7551	1	0.8275	0			
0.7624	2	0.8348	0			
0.7698	3	0.8421	0			
0.7771	0	0.8495	0			
0.7844	0	0.8568	0			
0.7918	2	0.8641	0			
0.7991	0	0.8715	0			
0.8064	0	0.8788	0			
0.8138	2	0.8861	0			
0.8211	1	0.8935	0			
0.8284	1	0.9008	0			
0.8358	1	0.9081	0			
0.8431	1	0.9155	1			
0.8504	5	0.9228	0			
0.8578	1	0.9301	0			
0.8651	2	0.9375	0			
0.8724	1	0.9448	0			
0.8797	2	0.9521	0			
0.8871	2	0.9594	0			
0.8944	2	0.9668	0			
0.9017	1	0.9741	0			
0.9091	1	0.9814	0			
0.9164	4	0.9888	1			
0.9237	2	0.9961	0			
0.9311	0	1.0034	0			
0.9384	0	1.0108	1			
0.9457	0	1.0181	0			
0.9531	1	1.0254	0			
0.9604	1	1.0328	1			
0.9677	1	1.0401	0			
0.9751	1	1.0474	1			
0.9824	2	1.0548	1			
0.9897	1	1.0621	0			
0.997	3	1.0694	0			
1.0044	5	1.0767	0			
1.0117	2	1.0841	1			
1.019	0	1.0914	1			
1.0264	1	1.0987	1			
1.0337	1	1.1061	1			
1.041	1	1.1134	0			
1.0484	1	1.1207	0			
1.0557	0	1.1281	0			
1.063	3	1.1354	0			
1.0704	2	1.1427	0			
1.0777	2	1.1501	0			
1.085	1	1.1574	0			
1.0924	0	1.1647	0			
1.0997	1	1.1721	0			
1.107	2	1.1794	0			
1.1143	0	1.1867	1			
1.1217	2	1.194	1			
1.129	1	1.2014	0			
1.1363	1	1.2087	0			
1.1437	2	1.216	0			
1.151	0	1.2234	1			
1.1583	1	1.2307	0			
1.1657	0	1.238	0			
1.173	2	1.2454	0			
1.1803	3	1.2527	0			
1.1877	2	1.26	0			
1.195	1	1.2674	1			
1.2023	2	1.2747	0			
1.2097	1	1.282	0			
1.217	3	1.2894	2			
1.2243	0	1.2967	0			
1.2316	0	1.304	0			
1.239	4	1.3113	1			
1.2463	1	1.3187	0			
1.2536	5	1.326	0			
1.261	1	1.3333	0			
1.2683	1	1.3407	0			
1.2756	1	1.348	0			
1.283	2	1.3553	0			
1.2903	2	1.3627	1			
1.2976	2	1.37	0			
1.305	3	1.3773	1			
1.3123	1	1.3847	1			
1.3196	3	1.392	0			
1.327	4	1.3993	0			
1.3343	0	1.4067	1			
1.3416	2	1.414	0			
1.3489	1	1.4213	0			
1.3563	2	1.4286	0			
1.3636	4	1.436	0			
1.3709	0	1.4433	0			
1.3783	0	1.4506	0			
1.3856	1	1.458	0			
1.3929	1	1.4653	0			
1.4003	0	1.4726	0			
1.4076	2	1.48	0			
1.4149	1	1.4873	0			
1.4223	0	1.4946	0			
1.4296	3	1.502	0			
1.4369	1	1.5093	0			
1.4443	2	1.5166	0			
1.4516	1	1.524	0			
1.4589	1	1.5313	0			
1.4662	1	1.5386	0			
1.4736	3	1.5459	0			
1.4809	0	1.5533	0			
1.4882	1	1.5606	0			
1.4956	3	1.5679	0			
1.5029	4	1.5753	0			
1.5102	3	1.5826	0			
1.5176	1	1.5899	0			
1.5249	1	1.5973	0			
1.5322	1	1.6046	0			
1.5396	1	1.6119	0			
1.5469	1	1.6193	0			
1.5542	3	1.6266	0			
1.5616	2	1.6339	0			
1.5689	1	1.6413	0			
1.5762	0	1.6486	0			
1.5835	2	1.6559	0			
1.5909	1	1.6632	0			
1.5982	3	1.6706	0			
1.6055	4	1.6779	1			
1.6129	4	1.6852	0			
1.6202	0	1.6926	0			
1.6275	1	1.7001	0			
1.6349	0	1.7072	0			
1.6422	0	1.7146	1			
1.6495	4	1.7219	0			
1.6569	1	1.7292	0			
1.6642	1	1.7366	0			
1.6715	1	1.7439	0			
1.6788	2	1.7512	1			
1.6862	3	1.7586	0			
1.6935	5	1.7659	0			
1.7008	1	1.7732	0			
1.7082	3	1.7805	0			
1.7155	4	1.7879	0			
1.7228	5	1.7952	0			
1.7302	2	1.8025	1			
1.7375	2	1.8099	0			
1.7448	3	1.8172	0			
1.7522	3	1.8245	0			
1.7595	1	1.8319	0			
1.7668	2	1.8392	0			
1.7742	0	1.8465	0			
1.7815	2	1.8539	0			
1.7888	3	1.8612	0			
1.7961	1	1.8685	0			
1.8035	3	1.8758	0			
1.8108	2	1.8832	1			
1.8181	1	1.8905	0			
1.8255	2	1.8978	2			
1.8328	4	1.9052	0			
1.8401	4	1.9125	0			
1.8475	2	1.9198	0			
1.8548	2	1.9272	0			
1.8621	1	1.9345	0			
1.8695	3	1.9418	0			
1.8768	5	1.9492	0			
1.8841	0	1.9565	0			
1.8915	1	1.9638	0			
1.8988	1	1.9712	0			
1.9061	2	1.9785	0			
1.9134	1	1.9858	0			
1.9208	1	1.9931	0			
1.9281	1	2.0005	0			
1.9354	3	2.0078	0			
1.9428	4	2.0151	0			
1.9501	2	2.0225	0			
1.9574	3	2.0298	0			
1.9648	1	2.0371	0			
1.9721	1	2.0445	0			
1.9794	3	2.0518	0			
1.9868	0	2.0591	0			
1.9941	1	2.0665	0			
2.0014	2	2.0738	0			
2.0088	1	2.0811	0			
2.0161	1	2.0885	0			
2.0234	1	2.0958	0			
2.0307	1	2.1031	0			
2.0381	1	2.1104	0			
2.0454	3	2.1178	0			
2.0527	0	2.1251	0			
2.0601	2	2.1324	0			
2.0674	3	2.1398	0			
2.0747	2	2.1471	0			
2.0821	6	2.1544	0			
2.0894	3	2.1618	0			
2.0967	0	2.1691	0			
2.1041	2	2.1764	1			
2.1114	2	2.1838	0			
2.1187	0	2.1911	0			
2.1261	1	2.1984	0			
2.1334	3	2.2058	0			
2.1407	0	2.2131	0			
2.148	3	2.2204	0			
2.1554	2	2.2277	0			
2.1627	5	2.2351	0			
2.17	3	2.2424	0			
2.1774	5	2.2497	0			
2.1847	2	2.2571	0			
2.192	1	2.2644	0			
2.1994	1	2.2717	0			
2.2067	3	2.2791	0			
2.214	2	2.2864	0			
2.2214	1	2.2937	0			
2.2287	2	2.3011	0			
2.236	2	2.3084	0			
2.2434	2	2.3157	0			
2.2507	3	2.3231	1			
2.258	2	2.3304	0			
2.2653	4	2.3377	0			
2.2727	2	2.345	0			
2.28	6	2.3524	0			
2.2873	1	2.3597	0			
2.2947	4	2.367	0			
2.302	2	2.3744	0			
2.3093	1	2.3817	0			
2.3167	2	2.389	0			
2.324	3	2.3964	0			
2.3313	2	2.4037	0			
2.3387	1	2.411	0			
2.346	1	2.4184	0			
2.3533	4	2.4257	0			
2.3607	2	2.433	0			
2.368	3	2.4404	0			
2.3753	3	2.4477	0			
2.3826	2	2.455	0			
2.39	2	2.4623	1			
2.3973	5	2.4697	1			
2.4046	1	2.477	1			
2.412	2	2.4843	1			
2.4193	3	2.4917	0			
2.4266	2	2.499	0			
2.434	3	2.5063	0			
2.4413	4	2.5137	1			
2.4486	3	2.521	0			
2.456	3	2.5283	0			
2.4633	2	2.5357	2			
2.4706	4	2.543	0			
2.478	4	2.5503	3			
2.4853	1	2.5577	0			
2.4926	2	2.565	3			
2.5001	5	2.5723	3			
2.5073	3	2.5796	3			
2.5146	2	2.587	2			
2.5219	1	2.5943	1			
2.5293	2	2.6016	3			
2.5366	2	2.609	2			
2.5439	3	2.6163	3			
2.5513	3	2.6236	5			
2.5586	1	2.631	8			
2.5659	2	2.6383	3			
2.5733	3	2.6456	2			
2.5806	2	2.653	4			
2.5879	3	2.6603	9			
2.5953	2	2.6676	9			
