PicoQuant	FluoFit	4.4.0.1				
Saved	:	08/04/2011	16:20:08			
Data	Set	#0				
Decay	IRF					
t[ns]	Intens.	t[ns]	Intens.			
0.0000	2	0.0640	1			
0.0073	0	0.0713	0			
0.0147	0	0.0787	0			
0.0220	1	0.0860	0			
0.0293	0	0.0933	0			
0.0367	0	0.1007	0			
0.0440	1	0.1080	0			
0.0513	1	0.1153	0			
0.0586	1	0.1226	0			
0.0660	1	0.1300	0			
0.0733	0	0.1373	0			
0.0806	0	0.1446	0			
0.0880	1	0.1520	0			
0.0953	1	0.1593	1			
0.1026	1	0.1666	0			
0.1100	1	0.1740	0			
0.1173	0	0.1813	0			
0.1246	0	0.1886	0			
0.1320	2	0.1960	0			
0.1393	0	0.2033	0			
0.1466	2	0.2106	0			
0.1540	1	0.2180	0			
0.1613	0	0.2253	1			
0.1686	0	0.2326	0			
0.1759	0	0.2399	1			
0.1833	0	0.2473	0			
0.1906	1	0.2546	0			
0.1979	0	0.2619	0			
0.2053	0	0.2693	0			
0.2126	1	0.2766	0			
0.2199	0	0.2839	0			
0.2273	0	0.2913	0			
0.2346	1	0.2986	0			
0.2419	0	0.3059	0			
0.2493	1	0.3133	0			
0.2566	0	0.3206	0			
0.2639	0	0.3279	0			
0.2713	2	0.3353	0			
0.2786	0	0.3426	0			
0.2859	0	0.3499	0			
0.2932	1	0.3572	0			
0.3006	0	0.3646	0			
0.3079	1	0.3719	0			
0.3152	1	0.3792	0			
0.3226	0	0.3866	0			
0.3299	0	0.3939	0			
0.3372	0	0.4012	0			
0.3446	0	0.4086	0			
0.3519	1	0.4159	0			
0.3592	0	0.4232	1			
0.3666	0	0.4306	0			
0.3739	0	0.4379	1			
0.3812	1	0.4452	0			
0.3886	0	0.4526	0			
0.3959	0	0.4599	0			
0.4032	1	0.4672	0			
0.4105	0	0.4745	1			
0.4179	0	0.4819	0			
0.4252	1	0.4892	0			
0.4325	0	0.4965	0			
0.4399	1	0.5039	0			
0.4472	0	0.5112	0			
0.4545	0	0.5185	0			
0.4619	0	0.5259	0			
0.4692	2	0.5332	0			
0.4765	0	0.5405	0			
0.4839	1	0.5479	0			
0.4912	0	0.5552	0			
0.4985	0	0.5625	0			
0.5059	0	0.5699	0			
0.5132	0	0.5772	0			
0.5205	0	0.5845	0			
0.5278	1	0.5918	0			
0.5352	1	0.5992	0			
0.5425	0	0.6065	0			
0.5498	0	0.6138	0			
0.5572	0	0.6212	0			
0.5645	1	0.6285	0			
0.5718	0	0.6358	0			
0.5792	1	0.6432	0			
0.5865	0	0.6505	0			
0.5938	0	0.6578	0			
0.6012	0	0.6652	1			
0.6085	1	0.6725	0			
0.6158	1	0.6798	0			
0.6232	0	0.6872	0			
0.6305	0	0.6945	0			
0.6378	0	0.7018	1			
0.6451	1	0.7091	1			
0.6525	1	0.7165	0			
0.6598	0	0.7238	0			
0.6671	1	0.7311	0			
0.6745	0	0.7385	0			
0.6818	1	0.7458	0			
0.6891	0	0.7531	0			
0.6965	0	0.7605	0			
0.7038	0	0.7678	0			
0.7111	0	0.7751	0			
0.7185	0	0.7825	0			
0.7258	0	0.7898	0			
0.7331	2	0.7971	0			
0.7405	0	0.8045	0			
