PicoQuant	FluoFit	4.4.0.1				
Saved	:	08/04/2011	16:20:08			
Data	Set	#0				
Decay	IRF					
Intens.						
2						
0						
0						
1						
0						
0						
1						
1						
1						
1						
0						
0						
1						
1						
1						
1						
0						
0						
2						
0						
2						
1						
0						
0						
0						
0						
1						
0						
0						
1						
0						
0						
1						
0						
1						
0						
0						
2						
0						
0						
1						
0						
1						
1						
0						
0						
0						
0						
1						
0						
0						
0						
1						
0						
0						
1						
0						
0						
1						
0						
1						
0						
0						
0						
2						
0						
1						
0						
0						
0						
0						
0						
1						
1						
0						
0						
0						
1						
0						
1						
0						
0						
0						
1						
1						
0						
0						
0						
1						
1						
0						
1						
0						
1						
0						
0						
0						
0						
0						
0						
2						
0						
0						
1						
0						
0						
1						
0						
0						
1						
0						
0						
1						
0						
1						
0						
0						
0						
0						
0						
1						
0						
1						
1						
0						
0						
0						
0						
0						
0						
0						
1						
1						
0						
1						
0						
0						
0						
0						
0						
0						
0						
0						
3						
0						
0						
0						
0						
0						
1						
0						
0						
0						
0						
1						
0						
1						
1						
0						
0						
1						
1						
1						
1						
0						
3						
1						
1						
0						
0						
1						
0						
2						
0						
0						
0						
0						
1						
3						
2						
1						
1						
1						
1						
1						
0						
3						
0						
3						
1						
1						
1						
2						
1						
1						
0						
1						
0						
1						
0						
3						
1						
1						
1						
0						
0						
2						
2						
1						
0						
1						
0						
1						
2						
1						
1						
1						
0						
2						
2						
1						
1						
1						
2						
1						
0						
3						
3						
0						
0						
3						
3						
1						
1						
0						
0						
2						
0						
4						
3						
1						
1						
3						
0						
1						
0						
1						
2						
3						
2						
0						
0						
2						
1						
1						
1						
1						
0						
3						
0						
2						
1						
1						
0						
0						
1						
2						
1						
1						
1						
1						
1						
1						
0						
0						
2						
1						
4						
0						
4						
2						
0						
2						
0						
3						
0						
1						
0						
1						
1						
1						
0						
1						
0						
1						
2						
1						
0						
2						
1						
0						
0						
2						
2						
1						
1						
1						
0						
2						
1						
3						
0						
5						
1						
0						
0						
1						
1						
0						
0						
1						
1						
1						
0						
0						
0						
1						
1						
2						
1						
2						
2						
0						
2						
1						
1						
0						
0						
0						
1						
0						
1						
2						
2						
1						
1						
1						
1						
0						
2						
1						
4						
1						
1						
2						
2						
2						
3						
3						
2						
5						
5						
7						
6						
9						
9						
7						
7						
21						
14						
17						
29						
34						
50						
78						
92						
158						
247						
398						
610						
944						
1393						
1928						
2712						
3746						
4562						
5729						
6663						
7818						
8404						
9236						
9509						
10231						
10490						
10565						
10791						
11023						
11002						
10961						
10748						
10660						
10891						
10706						
10838						
10606						
10489						
10183						
10267						
10548						
10333						
10282						
10036						
9922						
9890						
9998						
9744						
9661						
9359						
9589						
9643						
9533						
9277						
9543						
9277						
9268						
8965						
9126						
9096						
9063						
9204						
9005						
8712						
8912						
8918						
8863						
8848						
8700						
8683						
8505						
8480						
8536						
8310						
8477						
8417						
8187						
8173						
8309						
8074						
8107						
8065						
8012						
8100						
7968						
7733						
7850						
7870						
7711						
7494						
7517						
7522						
7462						
7218						
7470						
7260						
7350						
7078						
7116						
7118						
7136						
7090						
6983						
6888						
6916						
6688						
6626						
6701						
6553						
6646						
6469						
6621						
6436						
6425						
6433						
