PicoQuant	FluoFit	4.4.0.1				
Saved	:	08/04/2011	16:20:08			
Data	Set	#0				
Decay	IRF					
Intens.						
1						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
1						
0						
0						
0						
0						
0						
0						
0						
0						
1						
0						
1						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
1						
0						
1						
0						
0						
0						
0						
1						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
1						
0						
0						
0						
0						
1						
1						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
1						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
1						
0						
1						
0						
0						
0						
0						
0						
2						
1						
0						
0						
1						
0						
0						
1						
1						
0						
0						
0						
0						
0						
0						
1						
1						
1						
1						
0						
1						
0						
1						
2						
0						
0						
0						
0						
0						
0						
0						
0						
1						
0						
1						
1						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
1						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
1						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
1						
0						
0						
0						
1						
0						
0						
1						
0						
0						
0						
0						
0						
0						
1						
0						
0						
0						
0						
0						
0						
0						
0						
0						
1						
0						
0						
0						
0						
0						
0						
1						
0						
0						
1						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
1						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
0						
1						
0						
0						
0						
1						
2						
0						
0						
1						
1						
0						
0						
0						
1						
2						
1						
2						
2						
1						
1						
4						
0						
1						
1						
3						
3						
1						
1						
2						
2						
2						
4						
6						
6						
8						
8						
16						
4						
12						
9						
29						
30						
34						
62						
74						
103						
188						
280						
539						
847						
1480						
2179						
3425						
4772						
6356						
7951						
9514						
10510						
11049						
10838						
10263						
9325						
7819						
6538						
5181						
4018						
3168						
2372						
1847						
1425						
1055						
832						
622						
518						
458						
372						
318						
279						
273						
264						
240						
246						
266						
251						
261						
243						
268						
291						
269						
280						
297						
265						
268						
240						
231						
243						
234						
239						
229						
220						
213						
236						
202						
238						
251						
253						
243						
267						
280						
283						
270						
271						
279						
263						
267						
245						
215						
221						
248						
224						
191						
164						
142						
139						
139						
114						
89						
82						
64						
68						
57						
54						
51						
49						
36						
44						
54						
58						
52						
43						
41						
29						
37						
35						
23						
25						
31						
30						
19						
21						
20						
28						
25						
22						
13						
22						
18						
22						
21						
17						
22						
15						
22						
18						
26						
13						
13						
13						
13						
9						
10						
14						
11						
16						
17						
10						
3						
8						
7						
4						
11						
10						
15						
8						
5						
13						
4						
15						
10						
15						
13						
