#PicoHarp 300  Histogram Data			02/09/2013 15:34										
#channels per curve													
11000													
#display curve no.													
0	1	2	3	4	5								
memory block no.													
P-grnf1	P-grnf2	IRF1	IRF2	4	P_redfilter								
#ns/channel													
"0,0040"	"0,0040"	"0,0040"	"0,0040"	"0,0040"	"0,0040"								
Counts	Counts	Counts	Counts	Counts	Counts	t[ns]	Intens.	t[ns]	Intens.	t[ns]	Intens.	t[ns]	Intens.
16	7	3	6	0	1	0	2	0.064	1	0.0073	2	0.0797	1
16	3	2	2	0	2	0.0073	0	0.0713	0	0.0147	1	0.087	0
17	12	1	6	0	3	0.0147	0	0.0787	0	0.022	1	0.0944	0
21	6	6	3	0	3	0.022	1	0.086	0	0.0293	2	0.1017	0
18	7	2	9	0	2	0.0293	0	0.0933	0	0.0367	2	0.109	0
19	8	4	4	0	1	0.0367	0	0.1007	0	0.044	1	0.1164	0
19	9	0	4	0	4	0.044	1	0.108	0	0.0513	1	0.1237	0
16	6	0	6	0	1	0.0513	1	0.1153	0	0.0586	1	0.131	0
14	9	1	4	0	2	0.0586	1	0.1226	0	0.066	1	0.1384	0
17	7	1	7	0	2	0.066	1	0.13	0	0.0733	1	0.1457	0
21	10	1	4	0	3	0.0733	0	0.1373	0	0.0806	2	0.153	1
10	3	4	4	0	0	0.0806	0	0.1446	0	0.088	0	0.1603	0
16	5	1	6	0	5	0.088	1	0.152	0	0.0953	3	0.1677	0
15	6	2	4	0	3	0.0953	1	0.1593	1	0.1026	0	0.175	0
15	8	0	5	0	2	0.1026	1	0.1666	0	0.11	1	0.1823	0
17	12	0	5	0	6	0.11	1	0.174	0	0.1173	0	0.1897	0
18	11	6	4	0	6	0.1173	0	0.1813	0	0.1246	1	0.197	0
19	10	1	5	0	2	0.1246	0	0.1886	0	0.132	1	0.2043	0
9	8	4	8	0	2	0.132	2	0.196	0	0.1393	1	0.2117	0
17	6	2	9	0	6	0.1393	0	0.2033	0	0.1466	3	0.219	0
18	8	4	5	0	3	0.1466	2	0.2106	0	0.154	3	0.2263	0
17	4	3	11	0	2	0.154	1	0.218	0	0.1613	1	0.2337	0
13	8	3	2	0	3	0.1613	0	0.2253	1	0.1686	1	0.241	0
19	13	2	4	0	3	0.1686	0	0.2326	0	0.1759	2	0.2483	0
12	9	1	3	0	2	0.1759	0	0.2399	1	0.1833	1	0.2556	0
20	6	2	3	1	5	0.1833	0	0.2473	0	0.1906	0	0.263	0
14	7	2	7	0	1	0.1906	1	0.2546	0	0.1979	1	0.2703	0
11	9	2	4	0	3	0.1979	0	0.2619	0	0.2053	0	0.2776	0
19	9	0	5	0	2	0.2053	0	0.2693	0	0.2126	2	0.285	0
17	10	5	5	0	4	0.2126	1	0.2766	0	0.2199	2	0.2923	0
12	9	5	10	0	1	0.2199	0	0.2839	0	0.2273	1	0.2996	0
17	10	1	2	0	3	0.2273	0	0.2913	0	0.2346	2	0.307	0
20	6	0	9	1	4	0.2346	1	0.2986	0	0.2419	0	0.3143	0
19	8	2	3	1	4	0.2419	0	0.3059	0	0.2493	2	0.3216	1
18	8	0	4	0	2	0.2493	1	0.3133	0	0.2566	0	0.329	0
24	3	3	7	0	1	0.2566	0	0.3206	0	0.2639	3	0.3363	0
15	4	3	4	0	3	0.2639	0	0.3279	0	0.2713	2	0.3436	0
15	5	2	9	0	5	0.2713	2	0.3353	0	0.2786	2	0.351	0
23	8	2	1	0	3	0.2786	0	0.3426	0	0.2859	1	0.3583	0
17	6	0	6	0	1	0.2859	0	0.3499	0	0.2932	0	0.3656	0
17	3	2	7	0	5	0.2932	1	0.3572	0	0.3006	0	0.3729	0
25	9	4	4	0	3	0.3006	0	0.3646	0	0.3079	4	0.3803	0
25	1	3	5	0	4	0.3079	1	0.3719	0	0.3152	0	0.3876	0
18	8	1	6	0	3	0.3152	1	0.3792	0	0.3226	0	0.3949	0
15	4	2	6	0	2	0.3226	0	0.3866	0	0.3299	2	0.4023	0
18	5	2	6	0	2	0.3299	0	0.3939	0	0.3372	0	0.4096	0
11	2	1	0	0	5	0.3372	0	0.4012	0	0.3446	2	0.4169	0
19	5	4	4	0	1	0.3446	0	0.4086	0	0.3519	1	0.4243	0
15	10	1	6	0	3	0.3519	1	0.4159	0	0.3592	3	0.4316	0
23	14	0	5	0	4	0.3592	0	0.4232	1	0.3666	1	0.4389	0
20	4	3	6	0	7	0.3666	0	0.4306	0	0.3739	2	0.4463	0
16	6	0	10	0	6	0.3739	0	0.4379	1	0.3812	1	0.4536	0
24	4	3	6	0	3	0.3812	1	0.4452	0	0.3886	0	0.4609	0
17	1	5	7	0	5	0.3886	0	0.4526	0	0.3959	0	0.4683	0
18	12	4	6	0	3	0.3959	0	0.4599	0	0.4032	1	0.4756	0
15	8	3	4	0	5	0.4032	1	0.4672	0	0.4105	0	0.4829	0
15	3	1	4	0	3	0.4105	0	0.4745	1	0.4179	1	0.4902	0
22	6	4	3	0	4	0.4179	0	0.4819	0	0.4252	0	0.4976	0
18	7	4	4	0	3	0.4252	1	0.4892	0	0.4325	0	0.5049	0
20	9	3	5	0	3	0.4325	0	0.4965	0	0.4399	0	0.5122	0
25	7	2	1	0	4	0.4399	1	0.5039	0	0.4472	1	0.5196	1
19	9	2	11	0	3	0.4472	0	0.5112	0	0.4545	5	0.5269	0
24	7	5	2	0	3	0.4545	0	0.5185	0	0.4619	0	0.5342	0
18	8	0	5	0	3	0.4619	0	0.5259	0	0.4692	1	0.5416	0
21	9	4	9	0	7	0.4692	2	0.5332	0	0.4765	1	0.5489	0
19	4	3	7	0	10	0.4765	0	0.5405	0	0.4839	3	0.5562	0
22	4	0	4	0	1	0.4839	1	0.5479	0	0.4912	0	0.5636	0
12	10	1	5	0	2	0.4912	0	0.5552	0	0.4985	0	0.5709	0
12	11	0	4	0	4	0.4985	0	0.5625	0	0.5059	2	0.5782	0
23	10	5	4	0	3	0.5059	0	0.5699	0	0.5132	0	0.5856	0
18	7	1	1	0	1	0.5132	0	0.5772	0	0.5205	0	0.5929	0
17	6	3	4	0	5	0.5205	0	0.5845	0	0.5278	4	0.6002	0
13	6	1	2	0	2	0.5278	1	0.5918	0	0.5352	1	0.6075	0
16	7	0	3	0	6	0.5352	1	0.5992	0	0.5425	1	0.6149	0
15	10	1	8	0	2	0.5425	0	0.6065	0	0.5498	4	0.6222	0
25	5	2	5	0	1	0.5498	0	0.6138	0	0.5572	1	0.6295	0
13	10	2	7	0	2	0.5572	0	0.6212	0	0.5645	0	0.6369	0
17	9	2	4	0	3	0.5645	1	0.6285	0	0.5718	0	0.6442	0
22	5	2	4	0	8	0.5718	0	0.6358	0	0.5792	0	0.6515	0
23	9	1	4	0	3	0.5792	1	0.6432	0	0.5865	3	0.6589	0
18	8	4	7	0	3	0.5865	0	0.6505	0	0.5938	3	0.6662	0
16	4	1	7	0	6	0.5938	0	0.6578	0	0.6012	0	0.6735	0
20	5	1	14	0	6	0.6012	0	0.6652	1	0.6085	3	0.6809	0
17	6	1	5	0	3	0.6085	1	0.6725	0	0.6158	2	0.6882	0
19	10	4	6	0	3	0.6158	1	0.6798	0	0.6232	1	0.6955	1
14	12	1	8	0	4	0.6232	0	0.6872	0	0.6305	0	0.7029	0
23	11	3	5	0	4	0.6305	0	0.6945	0	0.6378	1	0.7102	0
20	9	0	12	0	5	0.6378	0	0.7018	1	0.6451	0	0.7175	0
22	7	4	1	0	1	0.6451	1	0.7091	1	0.6525	2	0.7248	0
22	8	3	6	0	5	0.6525	1	0.7165	0	0.6598	0	0.7322	0
14	5	1	6	0	4	0.6598	0	0.7238	0	0.6671	2	0.7395	0
23	5	2	3	0	1	0.6671	1	0.7311	0	0.6745	0	0.7468	0
13	8	1	10	0	4	0.6745	0	0.7385	0	0.6818	2	0.7542	0
24	10	1	4	0	5	0.6818	1	0.7458	0	0.6891	0	0.7615	0
28	9	3	1	0	3	0.6891	0	0.7531	0	0.6965	2	0.7688	0
16	8	1	4	0	4	0.6965	0	0.7605	0	0.7038	5	0.7762	0
21	7	4	7	0	5	0.7038	0	0.7678	0	0.7111	0	0.7835	0
21	4	2	4	0	2	0.7111	0	0.7751	0	0.7185	0	0.7908	0
20	9	2	4	0	4	0.7185	0	0.7825	0	0.7258	2	0.7982	0
23	4	2	4	0	2	0.7258	0	0.7898	0	0.7331	0	0.8055	0
18	4	1	8	0	4	0.7331	2	0.7971	0	0.7405	1	0.8128	0
18	11	5	6	0	2	0.7405	0	0.8045	0	0.7478	0	0.8202	0
20	10	1	7	0	0	0.7478	0	0.8118	0	0.7551	1	0.8275	0
19	16	1	8	0	4	0.7551	1	0.8191	0	0.7624	2	0.8348	0
18	5	2	6	0	3	0.7624	0	0.8264	1	0.7698	3	0.8421	0
17	9	1	5	0	2	0.7698	0	0.8338	0	0.7771	0	0.8495	0
21	7	2	8	0	5	0.7771	1	0.8411	0	0.7844	0	0.8568	0
19	10	1	4	0	5	0.7844	0	0.8484	0	0.7918	2	0.8641	0
21	6	0	7	0	3	0.7918	0	0.8558	0	0.7991	0	0.8715	0
24	9	3	8	0	3	0.7991	1	0.8631	0	0.8064	0	0.8788	0
21	4	3	10	0	3	0.8064	0	0.8704	0	0.8138	2	0.8861	0
18	12	2	12	0	1	0.8138	0	0.8778	0	0.8211	1	0.8935	0
23	10	2	6	0	2	0.8211	1	0.8851	0	0.8284	1	0.9008	0
17	13	1	1	0	1	0.8284	0	0.8924	0	0.8358	1	0.9081	0
15	8	1	4	0	3	0.8358	1	0.8998	0	0.8431	1	0.9155	1
19	11	2	7	0	3	0.8431	0	0.9071	0	0.8504	5	0.9228	0
27	4	0	2	0	3	0.8504	0	0.9144	0	0.8578	1	0.9301	0
24	9	5	6	0	4	0.8578	0	0.9218	1	0.8651	2	0.9375	0
18	9	5	5	0	3	0.8651	0	0.9291	0	0.8724	1	0.9448	0
11	12	3	3	0	7	0.8724	0	0.9364	1	0.8797	2	0.9521	0
19	10	2	5	0	5	0.8797	1	0.9437	0	0.8871	2	0.9594	0
16	9	2	4	0	2	0.8871	0	0.9511	0	0.8944	2	0.9668	0
21	10	2	10	0	3	0.8944	1	0.9584	0	0.9017	1	0.9741	0
15	8	2	2	0	2	0.9017	1	0.9657	0	0.9091	1	0.9814	0
21	7	4	4	0	3	0.9091	0	0.9731	0	0.9164	4	0.9888	1
20	6	1	7	0	5	0.9164	0	0.9804	2	0.9237	2	0.9961	0
15	7	1	7	0	3	0.9237	0	0.9877	1	0.9311	0	1.0034	0
12	11	2	2	0	4	0.9311	0	0.9951	0	0.9384	0	1.0108	1
